,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Japan,Japan,LOC,0.08834586,0.02819549,de,53.20000000,4028495-5,1861060,A,35.68536000,139.75309000,ASIA,Japan,EAS
Japans,Japans,LOC,0.02694611,0.00000000,de,33.40000000,,0,,,,,,
Deutschland,Deutschland,LOC,-0.44067797,0.16949153,de,11.80000000,4011882-4,2921044,A,51.50000000,10.50000000,EUROPE,Germany,WCE
Indonesien,Indonesien,LOC,0.00000000,0.00000000,de,9.40000000,4026761-1,1643084,A,-5.00000000,120.00000000,ASIA,Indonesia,SEA
Indonesiens,Indonesiens,LOC,-0.39010989,0.00000000,de,9.10000000,,0,,,,,,
Erde,Erde,LOC,-0.15384615,0.00000000,de,9.10000000,1135962553,6295630,L,0.00000000,0.00000000,ATLANTIC,,EAO
Fukushima,Fukushima,LOC,0.00000000,0.00000000,de,7.30000000,4332074-0,2112923,P,37.75000000,140.46667000,ASIA,Japan,EAS
Kokain,Kokain,LOC,-0.54687500,0.00000000,de,6.40000000,,0,,,,,,
Sulawesi,Sulawesi,LOC,-0.17241379,0.00000000,de,5.80000000,4069884-1,9062340,T,-2.13154000,120.28888000,ASIA,Indonesia,SEA
Erdbeben,Erdbeben,LOC,0.13461538,0.00000000,de,5.20000000,,0,,,,,,
Pazifik,Pazifik,LOC,0.10204082,0.10204082,de,4.90000000,,0,,,,,,
Erdbeben vor der Küste Japans,Erdbeben vor der Küste Japans,LOC,-0.60869565,0.00000000,de,4.60000000,,0,,,,,,
Tsunami,Tsunami,LOC,-0.30434783,0.00000000,de,4.60000000,,10526301,L,40.50488000,17.53334000,EUROPE-AFRICA,Italy,MED
Frankreich,Frankreich,LOC,0.00000000,0.21739130,de,4.60000000,4018145-5,3017382,A,46.00000000,2.00000000,EUROPE,France,WCE
Hamburger Hafen,Hamburger Hafen,LOC,0.00000000,0.00000000,de,4.60000000,,0,,,,,,
Molukkensee,Molukkensee,LOC,0.00000000,0.00000000,de,4.00000000,,0,,,,,,
Erdbeben vor Tsunami,Erdbeben vor Tsunami,LOC,-0.75675676,0.00000000,de,3.70000000,,0,,,,,,
…,…,LOC,-0.18918919,0.54054054,de,3.70000000,,0,,,,,,
Italiens,Italiens,LOC,0.00000000,0.00000000,de,3.70000000,,6116880,H,46.36199000,-74.81286000,NORTH-AMERICA,Canada,ENA
Europa,Europa,LOC,-0.45945946,0.00000000,de,3.70000000,4015701-5,6255148,L,48.69096000,9.14062000,EUROPE,Germany,WCE
Italien,Italien,LOC,-0.27027027,0.00000000,de,3.70000000,4027833-5,3175395,A,42.83333000,12.83333000,EUROPE-AFRICA,Italy,MED
Richterskala,Richterskala,LOC,0.00000000,0.00000000,de,3.70000000,,0,,,,,,
"Erdbeben der Stärke 7,4","Erdbeben der Stärke 7,4",LOC,-0.91935484,0.00000000,de,3.10000000,,0,,,,,,
Erdbeben der Stärke,Erdbeben der Stärke,LOC,0.22580645,0.00000000,de,3.10000000,,0,,,,,,
Kamtschatka,Kamtschatka,LOC,0.00000000,0.00000000,de,3.10000000,4029453-5,2125072,A,55.00000000,159.00000000,ASIA,Russia,RFE
Tokio,Tokio,LOC,0.25000000,0.00000000,de,2.80000000,4078337-6,1850147,P,35.68950000,139.69171000,ASIA,Japan,EAS
Hamburg,Hamburg,LOC,-0.13690476,0.00000000,de,2.80000000,4239189-1,2911298,P,53.55073000,9.99302000,EUROPE,Germany,NEU
Sri Lanka,Sri Lanka,LOC,0.00000000,0.00000000,de,2.80000000,4009696-8,1227603,A,7.75000000,80.75000000,INDIAN,Sri Lanka,BOB
Atomkraftwerk Fukushima Daiichi,Atomkraftwerk Fukushima Daiichi,LOC,0.00000000,0.00000000,de,2.80000000,,0,,,,,,
Aceh,Aceh,LOC,0.00000000,0.00000000,de,2.80000000,4195742-8,1215502,P,5.54167000,95.33333000,ASIA,Indonesia,SEA
Philippinen,Philippinen,LOC,-0.57142857,0.00000000,de,2.80000000,4045771-0,1694008,A,13.40882000,122.56155000,ASIA,Philippines,SEA
Südostasien,Südostasien,LOC,0.00000000,0.71428571,de,2.80000000,4058448-3,7729896,L,6.83917000,116.45508000,ASIA,,SEA
Tsunami-Gefahr,Tsunami-Gefahr,LOC,-0.31818182,0.00000000,de,2.20000000,,0,,,,,,
Busch,Busch,LOC,0.00000000,0.00000000,de,1.90000000,,2113372,U,27.66667000,161.83333000,PACIFIC,,NPO
Spanien,Spanien,LOC,0.00000000,0.00000000,de,1.90000000,4055964-6,2510769,A,40.00000000,-4.00000000,EUROPE-AFRICA,Spain,MED
"Erdbeben der Stärke 7,5","Erdbeben der Stärke 7,5",LOC,-1.05263158,0.00000000,de,1.90000000,,0,,,,,,
Präfektur Shimane,Präfektur Shimane,LOC,0.00000000,0.00000000,de,1.90000000,4389008-8,1857550,P,35.48333000,133.05000000,ASIA,Japan,EAS
China,China,LOC,0.36842105,0.00000000,de,1.90000000,4009937-4,1814991,A,35.00000000,105.00000000,ASIA,China,EAS
Grönland,Grönland,LOC,0.00000000,0.00000000,de,1.90000000,4022113-1,3425505,A,72.00000000,-40.00000000,POLAR,Greenland,GIC
Erdbeben in Japan,Erdbeben in Japan,LOC,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Smartphone-Markt,Smartphone-Markt,LOC,-0.52631579,0.00000000,de,1.90000000,,0,,,,,,
Absatzvolumens,Absatzvolumens,LOC,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Fukushima-GAU,Fukushima-GAU,LOC,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
