,phrase,label,sentiment,subjectivity,language,count
japanische,japanische,MISC,,,de,22.299999999999994
"Link
","Link
",MISC,,,de,14.800000000000004
Tsunami-Warnung,Tsunami-Warnung,MISC,1.7999999999999998,0.0,de,14.500000000000004
japanischen,japanischen,MISC,,,de,9.4
“,“,MISC,,,de,8.8
indonesischen,indonesischen,MISC,,,de,6.1
Tsunami-Welle,Tsunami-Welle,MISC,,,de,3.6999999999999997
Silver Tsunami,Silver Tsunami,MISC,,,de,3.6999999999999997
Monster Hunter,Monster Hunter,MISC,,,de,3.6999999999999997
Tsunami-Wellen,Tsunami-Wellen,MISC,-0.7499999999999999,0.0,de,2.8
Capital</li><li>4,Capital</li><li>4,MISC,,,de,2.8
stern+,stern+,MISC,,,de,2.8
stern+statt,stern+statt,MISC,,,de,2.8
Frieden,Frieden,MISC,,,de,2.8
Monster Hunter Wilds,Monster Hunter Wilds,MISC,,,de,2.8
Tsunami“,Tsunami“,MISC,,,de,2.8
Iran-Krieg,Iran-Krieg,MISC,,,de,2.8
d…,d…,MISC,,,de,2.8
Silver Tsunami“,Silver Tsunami“,MISC,,,de,1.9
deutscher,deutscher,MISC,,,de,1.9
Erdbebe…,Erdbebe…,MISC,,,de,1.9
ePaper,ePaper,MISC,,,de,1.9
Capcom,Capcom,MISC,0.0,0.0,de,1.9
russischen,russischen,MISC,,,de,1.9
Jul…,Jul…,MISC,,,de,1.9
Wohnhausbränden,Wohnhausbränden,MISC,,,de,1.9
deutschen,deutschen,MISC,,,de,1.9
Wie groß ist die Gefahr,Wie groß ist die Gefahr,MISC,,,de,1.9
Beitrags-Tsunami“,Beitrags-Tsunami“,MISC,,,de,1.9
15 Jahre später,15 Jahre später,MISC,,,de,1.9
Tsunami-Katastrophe,Tsunami-Katastrophe,MISC,,,de,1.9
Lost Places,Lost Places,MISC,,,de,1.9
Wetterbehörde bekan…,Wetterbehörde bekan…,MISC,,,de,1.9
Tsunami-Katastrophe von Fukushima im Jahr 2011,Tsunami-Katastrophe von Fukushima im Jahr 2011,MISC,,,de,1.9
Tsunami-Alarm,Tsunami-Alarm,MISC,,,de,1.9
S…,S…,MISC,,,de,1.9
Tijen Onaran,Tijen Onaran,MISC,,,de,1.9
russische,russische,MISC,,,de,1.3
Japan-Grabens,Japan-Grabens,MISC,,,de,1.3
Russischer,Russischer,MISC,,,de,1.3
Eisige Temperaturen und Schneemassen,Eisige Temperaturen und Schneemassen,MISC,,,de,1.3
Iran-Kriegs,Iran-Kriegs,MISC,,,de,1.0
Die deutsche,Die deutsche,MISC,,,de,1.0
"Oman
+++Kranke","Oman
+++Kranke",MISC,,,de,1.0
Speicherkrise,Speicherkrise,MISC,,,de,1.0
EM,EM,MISC,,,de,1.0
