,phrase,label,sentiment,subjectivity,language,count
Jens Baas,Jens Baas,PER,-0.2702702702702703,0.0,de,3.6999999999999997
Japans Küste,Japans Küste,PER,-0.3684210526315789,0.0,de,1.9
Hubig Indexmieten,Hubig Indexmieten,PER,0.0,0.0,de,1.9
Chinas Geburtenrate,Chinas Geburtenrate,PER,-0.5263157894736842,0.0,de,1.9
Michael Strasser,Michael Strasser,PER,-0.5384615384615384,0.0,de,1.3
Friedrich Merz,Friedrich Merz,PER,0.0,0.0,de,1.0
Skistar Pinturault,Skistar Pinturault,PER,0.0,0.0,de,1.0
Alexis Pinturault,Alexis Pinturault,PER,0.0,0.0,de,1.0
Johan Eliasch,Johan Eliasch,PER,0.0,0.0,de,1.0
Oskar Deutsch,Oskar Deutsch,PER,-2.0,0.0,de,1.0
Regierungschefin Takaichi,Regierungschefin Takaichi,PER,-1.0,0.0,de,1.0
TK-Chef Jens Baas,TK-Chef Jens Baas,PER,-0.85,0.0,de,1.0
Indonesiens Provinz Banda Aceh,Indonesiens Provinz Banda Aceh,PER,0.0,0.0,de,1.0
Christiane Justus,Christiane Justus,PER,0.0,0.0,de,1.0
