,Impacts,Causes,Hazard,Mitigation
2024-12-16,0,0,1,0
2024-12-17,5,0,3,0
2024-12-18,4,0,5,2
2024-12-22,0,0,4,0
2024-12-25,0,0,2,0
2024-12-26,0,0,1,0
2024-12-29,2,0,1,0
2024-12-30,1,0,2,0
2025-01-02,1,0,1,0
2025-01-03,0,0,2,0
2025-01-07,16,0,14,1
2025-01-08,1,0,6,0
2025-01-09,0,0,2,0
2025-01-10,0,0,2,0
2025-01-12,0,0,2,0
2025-01-13,0,0,2,0
2025-01-14,0,0,1,0
2025-01-15,0,0,0,1
2025-01-16,1,0,1,0
2025-01-17,1,0,0,0
2025-01-19,0,0,1,0
2025-01-20,0,0,2,0
2025-01-21,0,0,3,0
2025-01-22,0,0,1,0
2025-01-26,0,0,0,1
2025-01-27,0,0,1,0
2025-01-29,0,0,4,0
2025-01-30,0,0,1,0
2025-02-01,3,0,5,0
2025-02-02,4,0,4,1
2025-02-03,3,0,15,0
2025-02-04,2,0,20,0
2025-02-05,2,0,14,2
2025-02-06,2,0,24,2
2025-02-07,3,0,5,0
2025-02-08,0,0,1,0
2025-02-09,1,0,11,0
2025-02-10,1,0,2,0
2025-02-11,1,0,4,0
2025-02-12,1,1,5,0
2025-02-13,0,0,1,0
2025-02-14,0,0,1,0
2025-02-15,0,0,1,1
2025-02-16,0,0,2,0
2025-02-17,2,1,1,0
2025-02-18,0,0,1,0
2025-02-19,0,0,3,0
2025-02-20,1,0,0,0
2025-02-21,0,0,2,0
2025-02-23,0,0,2,0
2025-02-24,0,0,1,0
2025-02-26,1,0,1,0
2025-02-27,0,0,1,0
2025-03-01,0,0,1,0
2025-03-03,0,0,4,0
2025-03-04,0,0,2,0
2025-03-06,0,0,1,0
2025-03-09,0,0,3,0
2025-03-10,0,0,1,0
2025-03-13,2,0,9,0
2025-03-14,1,0,4,0
2025-03-15,0,0,2,0
2025-03-16,1,0,0,0
2025-03-21,0,0,1,0
2025-03-25,1,0,3,0
2025-03-28,39,3,73,2
2025-03-29,18,2,24,9
2025-03-30,13,0,18,6
2025-03-31,12,1,16,6
2025-04-01,5,0,17,4
2025-04-02,5,0,18,8
2025-04-03,4,0,5,2
2025-04-04,2,0,7,1
2025-04-05,1,0,8,0
2025-04-06,0,0,5,0
