,summary,Hazard,Mitigation,Impacts,Causes,Adaptation,word
summaryOfAllWords,39814.46294301418,10291.771236796798,10444.273395729751,10639.080985383953,2033.6522711913678,6405.685053907873,
Doku,3.6784500737357497,0.006759767428116118,-0.003909921588656782,-0.01751607686625976,-0.11680584992425247,0.057611286928315436,Doku
Atombombe,3.7463633935889686,0.00809924731229136,-0.0026910420639114987,-0.016441496258577222,-0.1350999698276624,0.05687188948555228,Atombombe
doku atom+bombe,3.7463633935889686,0.00809924731229136,-0.0026910420639114987,-0.016441496258577222,-0.1350999698276624,0.05687188948555228,doku atom+bombe
fürs,3.88330479147377,0.010658275096769258,-0.00035823042146338564,-0.014379538100538386,-0.1710009035595684,0.05541635875138484,fürs
atom+bombe für,3.88330479147377,0.010658275096769258,-0.00035823042146338564,-0.014379538100538386,-0.1710009035595684,0.05541635875138484,atom+bombe für
Gehirn,3.9667354118301743,0.012131286221046549,0.0009870960087344537,-0.013187198620453366,-0.19225780409074772,0.05455184182486154,Gehirn
für gehirn,3.9667354118301743,0.012131286221046549,0.0009870960087344537,-0.013187198620453366,-0.19225780409074772,0.05455184182486154,für gehirn
Die,137.46805439198053,0.04608137411223136,0.06543962427809152,0.04203403107586668,-0.6479035558257856,-0.1119888053050802,Die
gehirn der,4.107310726317056,0.014479119106297017,0.003135297113361916,-0.011278345448286632,-0.2270828519254355,0.053131407459714786,gehirn der
Arte-Dokumentation,4.204319744289842,0.016008857477128532,0.004537570845402069,-0.010028995919137435,-0.25042686935799674,0.05217654884597979,Arte-Dokumentation
der arte+-+dokumentation,4.204319744289842,0.016008857477128532,0.004537570845402069,-0.010028995919137435,-0.25042686935799674,0.05217654884597979,der arte+-+dokumentation
Der,39.895721949856075,0.045911193292743055,0.043861521774027364,0.03632047289952755,-0.6015760605836638,-0.06882142748391507,Der
arte+-+dokumentation der,5.102001080688203,0.027453560216526725,0.015096669869292046,-0.000534614382117744,-0.44394719361423896,0.0441911106281207,arte+-+dokumentation der
digitale,5.490276371447571,0.031274964553346773,0.018650337334831717,0.002696377890372363,-0.517292957215421,0.04113960284566217,digitale
der digital+e,5.490276371447571,0.031274964553346773,0.018650337334831717,0.002696377890372363,-0.517292957215421,0.04113960284566217,der digital+e
Tsunami,443.28543893450757,0.09286020249249646,0.07815310378308589,0.059675339196236694,-3.136735129744897,-0.09137019254877385,Tsunami
digital+e tsunami,7.857067079181015,0.046709480926725847,0.03315799157899904,0.0160839864185968,-0.8757277537408381,0.026157944729851567,digital+e tsunami
zeigt,13.712187004609408,0.06293865404066622,0.049206508016622796,0.030787876777566607,-1.43259936186626,0.0031556299854427613,zeigt
tsunami zeig+t,5.490276371447571,0.031274964553346773,0.018650337334831717,0.002696377890372363,-0.517292957215421,0.04113960284566217,tsunami zeig+t
verstörende,4.716042989165095,0.023053754568754335,0.011022794790022942,-0.004216180145624831,-0.3652844603106819,0.047450407006243756,verstörende
zeig+t verstörend+e,4.716042989165095,0.023053754568754335,0.011022794790022942,-0.004216180145624831,-0.3652844603106819,0.047450407006243756,zeig+t verstörend+e
Weise,4.258713027574234,0.01683653042502305,0.005297146598036068,-0.009351151436296588,-0.26328137051283507,0.05164986643852548,Weise
verstörend+e weise,4.258713027574234,0.01683653042502305,0.005297146598036068,-0.009351151436296588,-0.26328137051283507,0.05164986643852548,verstörend+e weise
Big,5.091677063909233,0.027344289179295683,0.014995266854550523,-0.0006265405504315259,-0.4419216204771573,0.044275227644942725,Big
weise big,3.88330479147377,0.010658275096769258,-0.00035823042146338564,-0.014379538100538386,-0.1710009035595684,0.05541635875138484,weise big
Tech,3.8243606612778316,0.00957912878430224,-0.0013426562277360017,-0.015250523533630472,-0.15570566800753421,0.05603718838020673,Tech
big tech,3.8243606612778316,0.00957912878430224,-0.0013426562277360017,-0.015250523533630472,-0.15570566800753421,0.05603718838020673,big tech
Gesellschaft,3.7112872057158883,0.007413531911117954,-0.0033152054301592523,-0.016992003797570054,-0.1256931342407545,0.05725228658083822,Gesellschaft
tech gesellschaft,3.7112872057158883,0.007413531911117954,-0.0033152054301592523,-0.016992003797570054,-0.1256931342407545,0.05725228658083822,tech gesellschaft
bedrohen,3.582431125760644,0.004779411969339766,-0.005709259264035838,-0.01909895333199147,-0.09035601742450894,0.058677444243373816,bedrohen
gesellschaft bedroh+en,3.582431125760644,0.004779411969339766,-0.005709259264035838,-0.01909895333199147,-0.09035601742450894,0.058677444243373816,gesellschaft bedroh+en
Haben,3.5026021863658774,0.003050237305286656,-0.0072777609760490275,-0.020475449397630865,-0.06782053614655612,0.05958304387468488,Haben
Sie,22.39471075314095,0.060451980225419776,0.051455791384988674,0.0651148918850523,-1.9231391659647408,-0.02725174057986692,Sie
hab+en sie,3.4606978812173974,0.002110525228021669,-0.008129146166850707,-0.02122133376269116,-0.055784630582842124,0.060065633502955226,hab+en sie
jüngst,3.4348404437423445,0.0015191781174601067,-0.008664548984405168,-0.021689933180558275,-0.048284836525741476,0.060365955915611676,jüngst
sie jüngst,3.4348404437423445,0.0015191781174601067,-0.008664548984405168,-0.021689933180558275,-0.048284836525741476,0.060365955915611676,sie jüngst
mal,3.3930597333748627,0.0005445224624156806,-0.009546392111062745,-0.022460979845753303,-0.036046452610205434,0.06085538104726021,mal
jüngst mal,3.3930597333748627,0.0005445224624156806,-0.009546392111062745,-0.022460979845753303,-0.036046452610205434,0.06085538104726021,jüngst mal
versucht,3.3709443104826553,1.877554264335808e-05,-0.010021763090745572,-0.022876230142463014,-0.029507278016322504,0.06111655464763078,versucht
mal versuch+t,3.3709443104826553,1.877554264335808e-05,-0.010021763090745572,-0.022876230142463014,-0.029507278016322504,0.06111655464763078,mal versuch+t
Tag,5.412564192364294,0.030177597281783933,0.018938195508811945,0.0017109844270955222,-0.5030373153574548,0.041391763049527214,Tag
versuch+t tag,3.2929851604302245,-0.0018913008488623147,-0.01174700086410582,-0.024380972486905454,-0.006108859063780101,0.062049137282862585,versuch+t tag
Einfluss,3.239554389557082,-0.0032540041730955145,-0.01297610821692515,-0.0254508079831764,0.010249851663702748,0.06269929446386838,Einfluss
tag einflus+s,3.239554389557082,-0.0032540041730955145,-0.01297610821692515,-0.0254508079831764,0.010249851663702748,0.06269929446386838,tag einflus+s
künstlicher,4.69983057699973,0.022853585662175848,0.010837893753763511,-0.004382717144545393,-0.3618408226974818,0.047592714128865926,künstlicher
einflus+s künstlich+er,3.192950734968878,-0.0044802465111167655,-0.014080917821796428,-0.026410915949716965,0.024740153381648484,0.0632738936798103,einflus+s künstlich+er
Intelligenz,5.691604599783279,0.03305887960473032,0.020314283674360046,0.004215615856560054,-0.5533065739376429,0.039637842296710135,Intelligenz
künstlich+er intelligenz,4.544068686696317,0.020859510177222422,0.00899796857378731,-0.006037297703854114,-0.32813715929294646,0.04898364874770624,künstlich+er intelligenz
großen,3.736495513039431,0.007907634467641417,-0.0028654946264938305,-0.016595412297031868,-0.13246250561968276,0.0569785863630942,großen
intelligenz groß+en,3.1098832043854263,-0.006758285829948904,-0.016130349128039623,-0.028188111373386948,0.051100467295990784,0.06431597514675584,intelligenz groß+en
